ISRC,Track,Artist,Release Date,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Explicit Track
GMM881200022,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,2012-10-09,26.5,1226381432.0,8351.0,1645328.0,46.0,1905103664.0,13003790.0,,,,340316264.0,0
TCACL1648391,River,Bishop Briggs,2016-01-22,26.5,547304707.0,93449.0,17009946.0,68.0,566895107.0,8058632.0,2927089.0,432649655.0,4144883692.0,56048945.0,0
INY091700035,Dil Diyan Gallan,Atif Aslam,2017-12-12,26.5,204127666.0,20958.0,11366583.0,65.0,1326806818.0,7661864.0,169700.0,3586828.0,60784930.0,27572059.0,0
GBARL2001197,Little Bit of Love,Tom Grennan,2021-01-08,26.5,389164529.0,60436.0,21604450.0,62.0,96711789.0,597354.0,22228.0,9869894.0,82984646.0,22709518.0,0
USCJY1231039,I Knew You Were Trouble.,Taylor Swift,2012-01-01,26.5,839642356.0,110606.0,35486997.0,72.0,545463966.0,4002306.0,762018.0,5417399.0,48882930.0,150833941.0,0
USUG12401034,Fresh Out The Slammer,Taylor Swift,2024-04-18,26.5,105424914.0,2473.0,7785632.0,,7227379.0,113318.0,,348700.0,2500000.0,,0
USIR10000448,The Real Slim Shady,Eminem,2000-01-01,26.5,1798020679.0,352947.0,75283550.0,81.0,961666231.0,7927293.0,74682.0,86740640.0,771015965.0,568968886.0,1
USAT22210335,Left and Right (Charlie Puth) [feat. Jung Kook of BTS] - Sped Up Version,sped up nightcore,2022-07-18,26.5,3492767.0,807.0,484998.0,27.0,412119147.0,8660129.0,122000.0,1891966.0,24601626.0,5322461166.0,0
USZHR2000088,Save Me,Jelly Roll,2020-06-25,26.5,143528699.0,26295.0,1211007.0,65.0,395691039.0,3870422.0,115695.0,13408126.0,184322890.0,442453830.0,0
TH2DY2100061,ýýýýýý,SPRITE,2021-04-29,26.5,9126545.0,2349.0,139340.0,41.0,440738171.0,3204368.0,1821332.0,96385707.0,1185912241.0,27961594.0,1
QM4TX2423210,Best For Me,Joyner Lucas,2024-03-18,26.5,18852560.0,3014.0,3041643.0,,18904500.0,468752.0,,120700.0,1200000.0,1283674.0,1
QZQMB2105022,Ni Me Debes Ni Te Debo,Carin Leon,2023-05-19,26.5,168963270.0,9329.0,6528413.0,52.0,138646834.0,561807.0,83980.0,6759488.0,90780465.0,7517627.0,0
CLPP22200035,Ya No Vuelvas,Luck Ra,2022-08-09,26.4,28739240.0,4519.0,1778008.0,51.0,378611518.0,826925.0,43939.0,2316894.0,26531589.0,4172329.0,0
NLM5S1600025,Scared To Be Lonely,Martin Garrix,2015-01-01,26.4,1254883107.0,131909.0,46601399.0,73.0,995579933.0,7131931.0,121770.0,12363862.0,113741661.0,221491507.0,0
USUM71821048,Un Aï¿½,Sebastian Yatra,2019-01-18,26.4,573290850.0,44972.0,20961958.0,67.0,830580317.0,5534299.0,314552.0,17545978.0,164663552.0,29178246.0,0
USQX92002597,21,Polo G,2020-05-15,26.4,500766243.0,134529.0,11500707.0,67.0,161831915.0,1890192.0,62100.0,5844781.0,22513039.0,25064335.0,1
USUM70965169,I Gotta Feeling,Black Eyed Peas,2009-01-01,26.4,1423655688.0,306620.0,108479481.0,76.0,190741649.0,1734831.0,498488.0,96154828.0,680999560.0,,0
USLD91740130,NOSTYLIST,Destroy Lonely,2022-08-12,26.4,100973437.0,55772.0,4769511.0,63.0,14289584.0,264058.0,153000.0,72100628.0,552255188.0,,1
USRH12000996,Respect (2021 Remaster),Aretha Franklin,2021-02-19,26.4,607726217.0,158.0,18327.0,20.0,,,,,,,0
USSM12005922,SO DONE,The Kid LAROI,2020-10-23,26.4,428787524.0,95178.0,8705363.0,62.0,63666862.0,1060419.0,39225.0,15383747.0,116127311.0,26679235.0,0
QZES92025420,The Boat Beat,Ricky Desktop,2020-05-12,26.4,13847072.0,3177.0,474041.0,33.0,8068836.0,219118.0,6220932.0,241086839.0,3081391270.0,,0
USUM71804471,No Es Justo,J Balvin,2018-05-11,26.3,580941059.0,55176.0,15983158.0,64.0,965441155.0,3017656.0,14706.0,1960151.0,19928111.0,131550363.0,0
USA2P2330067,New Jeans,NewJeans,2023-07-07,26.3,253890110.0,22593.0,5131270.0,73.0,32342210.0,1238077.0,93504.0,33300089.0,242425753.0,52890440.0,0
ARIXB2303741,Cat Partying (TikTok Sped Up) - Remix,Music Factory,2023-03-20,26.3,2368578.0,1128.0,61944.0,,,,1900000.0,12239089.0,196993859.0,,0
US5TA2000006,WANNABE,ITZY,2020-03-09,26.3,365845397.0,29751.0,5840656.0,66.0,731488947.0,8414274.0,116880.0,56690917.0,362463277.0,40824041.0,0
TRBUL2300064,Yï¿½ï¿½reï¿½ï¿½i,Amo988,2023-09-15,26.3,75979813.0,7579.0,4760968.0,68.0,104439157.0,350883.0,33300.0,3921299.0,60449279.0,369727517.0,0
USRC12400002,No Angels,Justin Timberlake,2024-03-14,26.3,11092257.0,1607.0,7250700.0,,,,,,,,0
USUG12104397,Champagne Poetry,Drake,2021-09-03,26.3,308396120.0,99705.0,14089454.0,66.0,63664549.0,669096.0,258830.0,147816112.0,1204022719.0,22392532.0,1
USSD11700288,Imitadora,Romeo Santos,2017-06-23,26.3,503904686.0,47427.0,13586022.0,73.0,1009029328.0,4103220.0,318412.0,137583052.0,979585978.0,286966207.0,0
FRX872442897,ýýýýýýýýýýýýýý,Akris & Teddy,2024-05-31,26.3,306040.0,1.0,13.0,15.0,,,,,,,0
USAT21704166,20 Min,Lil Uzi Vert,2017-11-17,26.3,1006734157.0,224587.0,27766092.0,77.0,106339744.0,850717.0,43585.0,19855293.0,144628943.0,,1
INS172300521,Om Jai Jagdish Hare,Shivali,2023-02-16,26.3,8313.0,7.0,75.0,8.0,314513125.0,1120176.0,,,,,0
USUM71809940,Ya No Tiene Novio,Sebastian Yatra,2018-08-10,26.3,431529832.0,32115.0,14298721.0,63.0,1077954732.0,4083486.0,73016.0,6785915.0,43241693.0,126637973.0,0
USUM72105934,Your Power,Billie Eilish,2021-04-29,26.3,423439672.0,79149.0,22567177.0,68.0,170437339.0,4244477.0,124714.0,54016040.0,347631092.0,47423810.0,0
USA2P2358699,Bling Bling,Grupo Marca Registrada,2023-11-27,26.3,96383243.0,10187.0,4406109.0,,51056879.0,376116.0,,596994.0,4336957.0,1280723741.0,1
